OGEE_Common,OGEE_Kidney,OGEE_Lung,FIPER_Common,FIPER_Kidney,FIPER_Lung,ADAM_Common,ADAM_Kidney,ADAM_Lung
EIF4G2,GNL2,HARS,DHPS,EEF2,EFTUD2,EIF4G2,DPAGT1,DARS1
EIF5,GNL3L,HAUS1,DHX15,EFL1,EIF1,EIF5,DPH3,DBF4
EIF5A,GOSR2,HAUS4,DHX16,EFTUD2,EIF1AD,EIF6,DR1,DBR1
EIF6,GPKOW,HAUS5,DHX33,EIF1,EIF1AX,ELAC2,DSN1,DCLRE1B
ELAC2,GPN1,HAUS6,DHX36,EIF1AD,EIF2B1,ELL,DTL,DCTN2
ELL,GPN2,HAUS7,DHX37,EIF1AX,EIF2B2,ELOB,DTYMK,DCTN3
ELOB,GPN3,HCFC1,DHX38,EIF2B1,EIF2B3,ELOC,DUT,DCTN4
ELP1,GPS1,HDAC3,DHX8,EIF2B2,EIF2B4,ELP1,DYNC1H1,DCTN5
ELP3,GRB2,HEATR1,DHX9,EIF2B3,EIF2B5,ELP6,DYNC1I2,DCTN6
ELP5,GRPEL1,HINFP,DIMT1,EIF2B4,EIF2S1,EP400,DYNLRB1,DDB1
